Year,RainFall Mean ()
1960,22.96876417
1961,30.01744917
1962,22.300155
1963,18.84656167
1964,25.16966333
1965,24.4512575
1966,22.54825917
1967,31.15643583
1968,18.00598667
1969,18.71605667
1970,25.77336667
1971,17.02884917
1972,22.92349667
1973,26.46456833
1974,17.7767225
1975,30.5011225
1976,33.65308583
1977,24.60518417
1978,31.13002833
1979,27.368945
1980,24.89661667
1981,27.62843833
1982,30.51863833
1983,31.63848083
1984,23.49638333
1985,20.7937675
1986,29.1173075
1987,19.93579917
1988,26.93608833
1989,26.21584167
1990,32.24276167
1991,24.05054083
1992,31.54837833
1993,20.73338917
1994,35.2729825
1995,29.38667
1996,28.55422917
1997,30.67739583
1998,25.0761675
1999,21.1350625
2000,15.98308
2001,19.48818167
2002,17.45571333
2003,32.17392417
2004,21.4776975
2005,26.97424
2006,30.47072917
2007,26.53999583
2008,28.10298917
2009,23.55043333
2010,32.0799
2011,26.79003
2012,22.83523417
2013,29.1535375
2014,22.957235
2015,33.14083917
2016,23.913655
